# Input,DiseaseName,DiseaseID,GeneSymbol,GeneID,DiseaseCategories,DirectEvidence,OmimIDs,PubMedIDs
mesh:d001835,Body Weight,MESH:D001835,GP2,2813,Signs and symptoms,marker/mechanism,,22344219
mesh:d001835,Body Weight,MESH:D001835,HRC,3270,Signs and symptoms,marker/mechanism,,17030629
mesh:d001835,Body Weight,MESH:D001835,KLF9,687,Signs and symptoms,marker/mechanism,,22344221
mesh:d001835,Body Weight,MESH:D001835,MAP2K5,5607,Signs and symptoms,marker/mechanism,,22344219
mesh:d001835,Body Weight,MESH:D001835,MC4R,4160,Signs and symptoms,marker/mechanism,,22344219|22344221
mesh:d001835,Body Weight,MESH:D001835,PCSK1,5122,Signs and symptoms,marker/mechanism,,22344219
mesh:d001835,Body Weight,MESH:D001835,POMC,5443,Signs and symptoms,marker/mechanism,,1316127
mesh:d001835,Body Weight,MESH:D001835,PTN,5764,Signs and symptoms,marker/mechanism,,36566969
mesh:d001835,Body Weight,MESH:D001835,SEC16B,89866,Signs and symptoms,marker/mechanism,,22344219|22344221
mesh:d001835,Body Weight,MESH:D001835,TFAP2B,7021,Signs and symptoms,marker/mechanism,,22344219
mesh:d001835,Body Weight,MESH:D001835,WRAP53,55135,Signs and symptoms,marker/mechanism,,31243981
mesh:d016535,Bronchial Hyperreactivity,MESH:D016535,ADAM33,80332,Respiratory tract disease,marker/mechanism,,17061022
mesh:d016535,Bronchial Hyperreactivity,MESH:D016535,CALCA,796,Respiratory tract disease,marker/mechanism,,15127121|16777450
mesh:d016535,Bronchial Hyperreactivity,MESH:D016535,CCL12,20293,Respiratory tract disease,marker/mechanism,,12388339
mesh:d016535,Bronchial Hyperreactivity,MESH:D016535,CCL2,6347,Respiratory tract disease,marker/mechanism,,12388339
mesh:d016535,Bronchial Hyperreactivity,MESH:D016535,CXCL1,2919,Respiratory tract disease,marker/mechanism,,12388339
mesh:d016535,Bronchial Hyperreactivity,MESH:D016535,ICAM1,3383,Respiratory tract disease,marker/mechanism,,17014439
mesh:d016535,Bronchial Hyperreactivity,MESH:D016535,IL13,3596,Respiratory tract disease,marker/mechanism,,12654629|23434795
mesh:d016535,Bronchial Hyperreactivity,MESH:D016535,IL1RL1,9173,Respiratory tract disease,marker/mechanism,,32777237
mesh:d016535,Bronchial Hyperreactivity,MESH:D016535,IL1RN,3557,Respiratory tract disease,therapeutic,,14754758
mesh:d016535,Bronchial Hyperreactivity,MESH:D016535,NGF,4803,Respiratory tract disease,marker/mechanism,,22871964
mesh:d016535,Bronchial Hyperreactivity,MESH:D016535,PTGS1,5742,Respiratory tract disease,marker/mechanism,,17508966
mesh:d016535,Bronchial Hyperreactivity,MESH:D016535,TAC1,6863,Respiratory tract disease,marker/mechanism,,16777450
mesh:d016535,Bronchial Hyperreactivity,MESH:D016535,TRPA1,8989,Respiratory tract disease,marker/mechanism,,19458046
mesh:d016535,Bronchial Hyperreactivity,MESH:D016535,VIP,7432,Respiratory tract disease,marker/mechanism,,15127121|15144609
mesh:d002429 [No associated data found],,,,,,,,
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,ACTG1,71,Cancer|Pathology (process),marker/mechanism,,25401301
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,AKR1C1,1645,Cancer|Pathology (process),marker/mechanism,,19696165
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,AKR1C2,1646,Cancer|Pathology (process),marker/mechanism,,19696165
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,AKR1C3,8644,Cancer|Pathology (process),marker/mechanism,,19696165
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,ALDH1A1,216,Cancer|Pathology (process),marker/mechanism,,26783756|29626521
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,ALK,238,Cancer|Pathology (process),marker/mechanism,,22286764|23104988
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,APC,324,Cancer|Pathology (process),marker/mechanism,,19092804|21967605
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,ARL6IP5,10550,Cancer|Pathology (process),marker/mechanism,,29545876
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,ATF3,467,Cancer|Pathology (process),marker/mechanism,,34364923
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,BCL2,596,Cancer|Pathology (process),marker/mechanism,,22666341|2543982|2848196
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,BRCA1,672,Cancer|Pathology (process),marker/mechanism,,22048643
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,CAT,847,Cancer|Pathology (process),therapeutic,,20516118|21742780|23518002|25448439|27323401|28881718
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,CCL18,6362,Cancer|Pathology (process),marker/mechanism,,23349697
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,CCND1,595,Cancer|Pathology (process),marker/mechanism|therapeutic,,21726611|24362009
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,CD34,947,Cancer|Pathology (process),marker/mechanism,,22011395
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,CDH1,999,Cancer|Pathology (process),marker/mechanism,,24014025
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,CDKL2,8999,Cancer|Pathology (process),marker/mechanism,,25333262
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,CHRNA9,55584,Cancer|Pathology (process),marker/mechanism,,30259641
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,CLDN1,9076,Cancer|Pathology (process),marker/mechanism,,24014025
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,CTBP2,1488,Cancer|Pathology (process),marker/mechanism,,28414304
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,CTNNB1,1499,Cancer|Pathology (process),marker/mechanism,,29626521
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,CTNND2,1501,Cancer|Pathology (process),marker/mechanism,,23917401
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,CXCL8,3576,Cancer|Pathology (process),marker/mechanism,,22015448
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,CXCR4,7852,Cancer|Pathology (process),marker/mechanism,,23743303
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,CYP2A13,1553,Cancer|Pathology (process),marker/mechanism,,26084420
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,DUXAP10,503639,Cancer|Pathology (process),marker/mechanism,,34373904
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,E4F1,1877,Cancer|Pathology (process),marker/mechanism,,30506647
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,EBF1,1879,Cancer|Pathology (process),marker/mechanism,,24362818
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,EDN1,1906,Cancer|Pathology (process),marker/mechanism,,25194819
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,EGF,1950,Cancer|Pathology (process),marker/mechanism,,12687016|18245498|18995957
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,EHMT2,10919,Cancer|Pathology (process),marker/mechanism,,29391238
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,EIF3I,8668,Cancer|Pathology (process),marker/mechanism,,11830523|24056964
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,ENO2,2026,Cancer|Pathology (process),marker/mechanism,,22613180
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,EPAS1,2034,Cancer|Pathology (process),marker/mechanism,,23333640|26735578|30090327
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,ERRFI1,54206,Cancer|Pathology (process),marker/mechanism,,28688920
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,ESR1,2099,Cancer|Pathology (process),marker/mechanism,,24014025|27366082
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,ESR2,2100,Cancer|Pathology (process),therapeutic,,22398780
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,EZH2,2146,Cancer|Pathology (process),marker/mechanism,,29391238
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,FAM66C,440078,Cancer|Pathology (process),marker/mechanism,,34418280
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,FN1,2335,Cancer|Pathology (process),marker/mechanism,,24014025
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,FOS,2353,Cancer|Pathology (process),marker/mechanism,,8777434
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,FOXA1,3169,Cancer|Pathology (process),marker/mechanism,,32717239
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,GCLC,2729,Cancer|Pathology (process),therapeutic,,30940545
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,GIT1,28964,Cancer|Pathology (process),marker/mechanism,,28100775
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,GSK3B,2932,Cancer|Pathology (process),marker/mechanism,,29626521
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,H19,283120,Cancer|Pathology (process),marker/mechanism,,32739445
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,HIF1A,3091,Cancer|Pathology (process),marker/mechanism,,29501572
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,HMGN1,3150,Cancer|Pathology (process),marker/mechanism,,24747640
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,HRAS,3265,Cancer|Pathology (process),marker/mechanism,,12115494|18245498|18829283|22048643|23877152
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,IGBP1,3476,Cancer|Pathology (process),marker/mechanism,,21339737
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,IGF1R,3480,Cancer|Pathology (process),marker/mechanism,,23748240
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,IGF2BP1,10642,Cancer|Pathology (process),therapeutic,,34974052
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,IL6,3569,Cancer|Pathology (process),marker/mechanism,,23593346|26101800
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,IL7R,3575,Cancer|Pathology (process),marker/mechanism,,21892159
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,IRS1,3667,Cancer|Pathology (process),marker/mechanism,,23748240
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,JAK2,3717,Cancer|Pathology (process),marker/mechanism,,35568132
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,JUN,3725,Cancer|Pathology (process),marker/mechanism,,21726611|8777434
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,KCND2,3751,Cancer|Pathology (process),marker/mechanism,,34418280
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,KCNH2,3757,Cancer|Pathology (process),marker/mechanism,,24830940
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,KRAS,3845,Cancer|Pathology (process),marker/mechanism,,27510461
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,KRT14,3861,Cancer|Pathology (process),marker/mechanism,,22011395
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,KRT15,3866,Cancer|Pathology (process),marker/mechanism,,22011395
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,KRT19,3880,Cancer|Pathology (process),marker/mechanism,,22011395
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,KRT5,3852,Cancer|Pathology (process),marker/mechanism,,22011395
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,LGALS3,3958,Cancer|Pathology (process),marker/mechanism,,16322222
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,LIN28A,79727,Cancer|Pathology (process),marker/mechanism,,19483683
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,LIN28B,389421,Cancer|Pathology (process),marker/mechanism,,19483683
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,LOXL2,4017,Cancer|Pathology (process),marker/mechanism,,24014025
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MALAT1,378938,Cancer|Pathology (process),marker/mechanism,,26735578
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MAPK8,5599,Cancer|Pathology (process),marker/mechanism,,21726611
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MDM2,4193,Cancer|Pathology (process),marker/mechanism,614401,15550242
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MEG3,55384,Cancer|Pathology (process),therapeutic,,34520792
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR106A,406899,Cancer|Pathology (process),marker/mechanism,,20889678
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR1246,100302142,Cancer|Pathology (process),marker/mechanism,,22048643
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR1275,100302123,Cancer|Pathology (process),marker/mechanism,,22048643
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR143,406935,Cancer|Pathology (process),therapeutic,,26721309
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR1469,100302258,Cancer|Pathology (process),marker/mechanism,,22048643
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR146A,406938,Cancer|Pathology (process),marker/mechanism,,22048643
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR155,406947,Cancer|Pathology (process),marker/mechanism,,28688901
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR15B,406949,Cancer|Pathology (process),marker/mechanism,,22048643
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR185,406961,Cancer|Pathology (process),marker/mechanism,,22048643
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR190A,406965,Cancer|Pathology (process),marker/mechanism,,21750348
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR191,406966,Cancer|Pathology (process),marker/mechanism,,22048643|29277653
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR1915,100302129,Cancer|Pathology (process),marker/mechanism,,22048643
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR200B,406984,Cancer|Pathology (process),marker/mechanism,,21292642
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR205,406988,Cancer|Pathology (process),marker/mechanism,,22048643
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR21,406991,Cancer|Pathology (process),marker/mechanism|therapeutic,,26101800|27323401|27344173|28881718|29501572
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR221,407006,Cancer|Pathology (process),marker/mechanism,,22048643
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR25,407014,Cancer|Pathology (process),marker/mechanism,,22048643
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR29A,407021,Cancer|Pathology (process),marker/mechanism,,22048643
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR30D,407033,Cancer|Pathology (process),marker/mechanism,,22048643
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR320A,407037,Cancer|Pathology (process),marker/mechanism,,22048643
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR34B,407041,Cancer|Pathology (process),marker/mechanism,,21339737
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR34C,407042,Cancer|Pathology (process),therapeutic,,24362009
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR374B,100126317,Cancer|Pathology (process),marker/mechanism,,22048643
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR638,693223,Cancer|Pathology (process),marker/mechanism,,22048643
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR654,724024,Cancer|Pathology (process),marker/mechanism,,28030816
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR877,100126314,Cancer|Pathology (process),marker/mechanism,,22048643
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR92B,693235,Cancer|Pathology (process),marker/mechanism,,22048643
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIR99B,407056,Cancer|Pathology (process),marker/mechanism,,22048643
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MIRLET7C,406885,Cancer|Pathology (process),therapeutic,,24704393
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MITF,4286,Cancer|Pathology (process),marker/mechanism,,25401301
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MMP14,4323,Cancer|Pathology (process),marker/mechanism,,23804419
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MMP9,4318,Cancer|Pathology (process),marker/mechanism,,14700523|19617202|22011395|30090327
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MUC1,4582,Cancer|Pathology (process),therapeutic,,22457794
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MYC,4609,Cancer|Pathology (process),marker/mechanism,,12115494|2543982|29626521|31504995
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MYCN,4613,Cancer|Pathology (process),marker/mechanism,,22286764
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,MYD88,4615,Cancer|Pathology (process),marker/mechanism,,24362818
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,NANOG,79923,Cancer|Pathology (process),marker/mechanism,,29626521
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,NCF1,653361,Cancer|Pathology (process),marker/mechanism,,21742780
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,NFE2L2,4780,Cancer|Pathology (process),therapeutic,,35124418
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,NFKB1,4790,Cancer|Pathology (process),marker/mechanism|therapeutic,,20516118|28823542
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,NOS2,4843,Cancer|Pathology (process),marker/mechanism,,14700523
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,NOTCH1,4851,Cancer|Pathology (process),marker/mechanism,,22011395
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,NRG1,3084,Cancer|Pathology (process),marker/mechanism,,19617202
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,NSD2,7468,Cancer|Pathology (process),marker/mechanism,,24076604
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,NT5E,4907,Cancer|Pathology (process),therapeutic,,34773529
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,OCLN,100506658,Cancer|Pathology (process),marker/mechanism,,24014025
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,PARG,8505,Cancer|Pathology (process),marker/mechanism|therapeutic,,25628927|27003318
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,PARP1,142,Cancer|Pathology (process),therapeutic,,33771647
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,PDCD4,27250,Cancer|Pathology (process),therapeutic,,27323401|27344173|28881718
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,PGBD5,79605,Cancer|Pathology (process),marker/mechanism,,28504702
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,PHGDH,26227,Cancer|Pathology (process),marker/mechanism,,21804546
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,PHLPP1,23239,Cancer|Pathology (process),marker/mechanism,,21750348
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,PIM1,5292,Cancer|Pathology (process),marker/mechanism,,23565217
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,POR,5447,Cancer|Pathology (process),marker/mechanism,,15089088
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,PROM1,8842,Cancer|Pathology (process),marker/mechanism,,29626521
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,PTEN,5728,Cancer|Pathology (process),marker/mechanism,,28823542
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,PTK2,5747,Cancer|Pathology (process),marker/mechanism,,23804419
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,PXN,5829,Cancer|Pathology (process),marker/mechanism,,28100775
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,RAC1,5879,Cancer|Pathology (process),marker/mechanism,,22011395
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,RELA,5970,Cancer|Pathology (process),marker/mechanism,,23069812|29501572
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,SATB2,23314,Cancer|Pathology (process),marker/mechanism,,26780400
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,SLC16A1,6566,Cancer|Pathology (process),marker/mechanism,,11953883
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,SLC2A1,6513,Cancer|Pathology (process),marker/mechanism,,11953883
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,SLC40A1,30061,Cancer|Pathology (process),marker/mechanism,,21785164
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,SNAI1,6615,Cancer|Pathology (process),marker/mechanism,,24014025
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,SOD1,6647,Cancer|Pathology (process),therapeutic,,21742780|2982513
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,SOD2,6648,Cancer|Pathology (process),marker/mechanism|therapeutic,,20516118|21742780|23964924|25448439|9067545
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,SP1,6667,Cancer|Pathology (process),marker/mechanism,,22009531
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,STAT3,6774,Cancer|Pathology (process),marker/mechanism,,25970160|26101800|34953898
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,SUV39H1,6839,Cancer|Pathology (process),marker/mechanism,,29391238
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,TFRC,7037,Cancer|Pathology (process),marker/mechanism,,21785164
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,TGFB1,7040,Cancer|Pathology (process),marker/mechanism,,20172950
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,TLX1,3195,Cancer|Pathology (process),marker/mechanism,,20972433
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,TNFAIP3,7128,Cancer|Pathology (process),marker/mechanism,,24362818
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,TP53,7157,Cancer|Pathology (process),marker/mechanism,,15550242
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,TP63,8626,Cancer|Pathology (process),marker/mechanism,,22011395
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,TRP53,22059,Cancer|Pathology (process),marker/mechanism,,22009531
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,TSC22D1,8848,Cancer|Pathology (process),marker/mechanism,,15089088
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,VEGFA,7422,Cancer|Pathology (process),marker/mechanism,,30090327
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,VIM,7431,Cancer|Pathology (process),marker/mechanism,,24014025
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,WFDC21P,645638,Cancer|Pathology (process),marker/mechanism,,34953898
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,WNT5A,7474,Cancer|Pathology (process),marker/mechanism,,19061910
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,ZEB1,6935,Cancer|Pathology (process),marker/mechanism,,21954225
mesh:d002471,"Cell Transformation, Neoplastic",MESH:D002471,ZEB2,9839,Cancer|Pathology (process),marker/mechanism,,21954225
